Name,Latitude,Longitude
N71,42.73092087,-73.6843118
N72,42.73242613,-73.67160571
N73,42.73305836,-73.67653978
N74,42.73077083,-73.67722419
N75,42.73064438,-73.67622145
N76,42.73094326,-73.67564847
N77,42.73190885,-73.67462982
N78,42.73271351,-73.67431149
N79,42.73091452,-73.67379262
N80,42.73134559,-73.67429557
N81,42.73126512,-73.67190812
N82,42.73112718,-73.67303818
N83,42.7325066,-73.6726721
N84,42.73136858,-73.67510731
N85,42.7306053,-73.67405205
N86,42.73042943,-73.67458684
N87,42.73033402,-73.67470303
N88,42.73008572,-73.67503569
N89,42.73030758,-73.67586174
N90,42.73071335,-73.67526647
N91,42.73166745,-73.67221371
N92,42.7316594,-73.6717967
N93,42.73169044,-73.67313368
N94,42.73165251,-73.67293472
N95,42.72912128,-73.6725209
N96,42.72951441,-73.67441654
N97,42.72936268,-73.67343609
N98,42.72923048,-73.6729968
N99,42.72879367,-73.67311776
N100,42.72863274,-73.67418416
N101,42.72844881,-73.67331831
N102,42.72900403,-73.67346792
N103,42.7288339,-73.67378307
N104,42.72883965,-73.67408866
N105,42.72893391,-73.67442927
N106,42.72926497,-73.67462982
N107,42.72851778,-73.67454387
N108,42.72831432,-73.67471577
N109,42.72810396,-73.67372258
N110,42.72844881,-73.67389766
N111,42.7280005,-73.67287902
N112,42.72885114,-73.67499589
N113,42.72900058,-73.67532218
N114,42.72924888,-73.67573441
N115,42.72876608,-73.67548612
N116,42.72841433,-73.67553705
N117,42.72791659,-73.67470303
N118,42.72783612,-73.67399316
N119,42.72742575,-73.67419689
N120,42.72744414,-73.67470144
N121,42.72718895,-73.67474123
N122,42.72714297,-73.67428602
N123,42.72804419,-73.6739295
N124,42.72979374,-73.67576625
N125,42.73005813,-73.67742632
N126,42.72951096,-73.6764984
N127,42.73028229,-73.67808844
N128,42.73051794,-73.67803592
N129,42.73001215,-73.67851341
N130,42.72957534,-73.67859299
N131,42.72937992,-73.67797225
N132,42.72929486,-73.67737857
N133,42.72980524,-73.67795156
N134,42.72960982,-73.67924556
